honorific_title,name,gender,username,profile_URL,account_status,political_affiliation,constituency,province_territory
NA,Michael Coteau,Man,coteau.bsky.social,https://bsky.app/profile/coteau.bsky.social,Active,Liberal,Don Valley East,Ontario
NA,Chris d'Entremont,Man,chrisdentremontmp.bsky.social,https://bsky.app/profile/chrisdentremontmp.bsky.social,Inactive,Conservative,West Nova,Nova Scotia
NA,Julie Dabrusin,Woman,juliedabrusin.bsky.social,https://bsky.app/profile/juliedabrusin.bsky.social,Active,Liberal,Toronto—Danforth,Ontario
NA,Marc Dalton,Man,marcdalton.bsky.social,https://bsky.app/profile/marcdalton.bsky.social,Inactive,Conservative,Pitt Meadows—Maple Ridge,British Columbia
NA,Pam Damoff,Woman,pamdamoff.bsky.social,https://bsky.app/profile/pamdamoff.bsky.social,Active,Liberal,Oakville North—Burlington,Ontario
NA,Leila Dance,Woman,leiladance.bsky.social,https://bsky.app/profile/leiladance.bsky.social,Active,NDP,Elmwood—Transcona,Manitoba
NA,Don Davies,Man,donvdavies.bsky.social,https://bsky.app/profile/donvdavies.bsky.social,Active,NDP,Vancouver Kingsway,British Columbia
NA,Caroline Desbiens,Woman,carolinebq.bsky.social,https://bsky.app/profile/carolinebq.bsky.social,Active,Bloc Québécois,Beauport—Côte-de-Beaupré—Île d'Orléans—Charlevoix,Quebec
NA,Blake Desjarlais,Man,blakedesjarlais.bsky.social,https://bsky.app/profile/blakedesjarlais.bsky.social,Active,NDP,Edmonton Griesbach,Alberta
Hon.,Jean-Yves Duclos,Man,jyduclos.bsky.social,https://bsky.app/profile/jyduclos.bsky.social,Active,Liberal,Québec,Quebec
NA,Julie Dzerowicz,Woman,juliedzerowicz.bsky.social,https://bsky.app/profile/juliedzerowicz.bsky.social,Inactive,Liberal,Davenport,Ontario
Hon.,Nathaniel Erskine-Smith,Man,beynate.bsky.social,https://bsky.app/profile/beynate.bsky.social,Active,Liberal,Beaches—East York,Ontario
Hon.,Greg Fergus,Man,gregfergus.bsky.social,https://bsky.app/profile/gregfergus.bsky.social,Inactive,Liberal,Hull—Aylmer,Quebec
Hon.,Darren Fisher,Man,darrenfisherns.bsky.social,https://bsky.app/profile/darrenfisherns.bsky.social,Active,Liberal,Dartmouth—Cole Harbour,Nova Scotia
Hon.,Mona Fortier,Woman,monafortier.bsky.social,https://bsky.app/profile/monafortier.bsky.social,Inactive,Liberal,Ottawa—Vanier,Ontario
NA,Rhéal Éloi Fortin,Man,rhealfortin.bsky.social,https://bsky.app/profile/rhealfortin.bsky.social,Inactive,Bloc Québécois,Rivière-du-Nord,Quebec
Hon.,Sean Fraser,Man,seanfraser.bsky.social,https://bsky.app/profile/seanfraser.bsky.social,Inactive,Liberal,Central Nova,Nova Scotia
Hon.,Chrystia Freeland,Woman,chrystia-freeland.bsky.social,https://bsky.app/profile/chrystia-freeland.bsky.social,Active,Liberal,University—Rosedale,Ontario
Hon.,Hedy Fry,Woman,hedyfry.bsky.social,https://bsky.app/profile/hedyfry.bsky.social,Inactive,Liberal,Vancouver Centre,British Columbia
NA,Anna Gainey,Woman,annamgainey.bsky.social,https://bsky.app/profile/annamgainey.bsky.social,Active,Liberal,Notre-Dame-de-Grâce—Westmount,Quebec
NA,Leah Gazan,Woman,leahgazan.bsky.social,https://bsky.app/profile/leahgazan.bsky.social,Active,NDP,Winnipeg Centre,Manitoba
NA,Mark Gerretsen,Man,markgerretsen.bsky.social,https://bsky.app/profile/markgerretsen.bsky.social,Active,Liberal,Kingston and the Islands,Ontario
NA,Marilène Gill,Woman,marilenegill.bsky.social,https://bsky.app/profile/marilenegill.bsky.social,Inactive,Bloc Québécois,Manicouagan,Quebec
Hon.,Karina Gould,Woman,karinagould.bsky.social,https://bsky.app/profile/karinagould.bsky.social,Active,Liberal,Burlington,Ontario
NA,Matthew Green,Man,matthewgreen.bsky.social,https://bsky.app/profile/matthewgreen.bsky.social,Active,NDP,Hamilton Centre,Ontario
Hon.,Steven Guilbeault,Man,stevenguilbeault.bsky.social,https://bsky.app/profile/stevenguilbeault.bsky.social,Active,Liberal,Laurier—Sainte-Marie,Quebec
Hon.,Patty Hajdu,Woman,pattyhajdu.bsky.social,https://bsky.app/profile/pattyhajdu.bsky.social,Active,Liberal,Thunder Bay—Superior North,Ontario
NA,Brendan Hanley,Man,drbrendanhanley.bsky.social,https://bsky.app/profile/drbrendanhanley.bsky.social,Active,Liberal,Yukon,Yukon
NA,Ken Hardie,Man,kenhardie.bsky.social,https://bsky.app/profile/kenhardie.bsky.social,Active,Liberal,Fleetwood—Port Kells,British Columbia
NA,Lisa Hepfner,Woman,lisahepfner.bsky.social,https://bsky.app/profile/lisahepfner.bsky.social,Active,Liberal,Hamilton Mountain,Ontario
Hon.,Mark Holland,Man,markhollandlib.bsky.social,https://bsky.app/profile/markhollandlib.bsky.social,Active,Liberal,Ajax,Ontario
Hon.,Gudie Hutchings,Woman,gudiehutchings.bsky.social,https://bsky.app/profile/gudiehutchings.bsky.social,Inactive,Liberal,Long Range Mountains,Newfoundland and Labrador
NA,Angelo Iacono,Man,aiaconomp.bsky.social,https://bsky.app/profile/aiaconomp.bsky.social,Active,Liberal,Alfred-Pellan,Quebec
NA,Lori Idlout,Woman,loriidlout.bsky.social,https://bsky.app/profile/loriidlout.bsky.social,Active,NDP,Nunavut,Nunavut
NA,Matt Jeneroux,Man,mattjeneroux.bsky.social,https://bsky.app/profile/mattjeneroux.bsky.social,Inactive,Conservative,Edmonton Riverbend,Alberta
NA,Gord Johns,Man,gordjohns.bsky.social,https://bsky.app/profile/gordjohns.bsky.social,Active,NDP,Courtenay—Alberni,British Columbia
Hon.,Mélanie Joly,Woman,melaniejolycan.bsky.social,https://bsky.app/profile/melaniejolycan.bsky.social,Active,Liberal,Ahuntsic-Cartierville,Quebec
NA,Peter Julian,Man,mpjulian.bsky.social,https://bsky.app/profile/mpjulian.bsky.social,Active,NDP,New Westminster—Burnaby,British Columbia
NA,Arielle Kayabaga,Woman,kayabagaarielle.bsky.social,https://bsky.app/profile/kayabagaarielle.bsky.social,Active,Liberal,London West,Ontario
NA,Iqra Khalid,Woman,iqrakhalidmp.bsky.social,https://bsky.app/profile/iqrakhalidmp.bsky.social,Active,Liberal,Mississauga—Erin Mills,Ontario
Hon.,Kamal Khera,Woman,kamalkheralib.bsky.social,https://bsky.app/profile/kamalkheralib.bsky.social,Active,Liberal,Brampton West,Ontario
NA,Jenny Kwan,Woman,jennykwan.bsky.social,https://bsky.app/profile/jennykwan.bsky.social,Active,NDP,Vancouver East,British Columbia
NA,Marie-France Lalonde,Woman,mflalonde.bsky.social,https://bsky.app/profile/mflalonde.bsky.social,Active,Liberal,Orléans,Ontario
NA,Viviane Lapointe,Woman,vivianelapointe.bsky.social,https://bsky.app/profile/vivianelapointe.bsky.social,Active,Liberal,Sudbury,Ontario
NA,Andréanne Larouche,Woman,andreannelarouche.bsky.social,https://bsky.app/profile/andreannelarouche.bsky.social,Active,Bloc Québécois,Shefford,Quebec
Hon.,Dominic LeBlanc,Man,dleblancnb.bsky.social,https://bsky.app/profile/dleblancnb.bsky.social,Inactive,Liberal,Beauséjour,New Brunswick
Hon.,Diane Lebouthillier,Woman,dianelebouthillier.bsky.social,https://bsky.app/profile/dianelebouthillier.bsky.social,Inactive,Liberal,Gaspésie—Les Îles-de-la-Madeleine,Quebec
NA,Sébastien Lemire,Man,seblemire.bsky.social,https://bsky.app/profile/seblemire.bsky.social,Active,Bloc Québécois,Abitibi—Témiscamingue,Quebec
